"nvmax","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
31,0.338688259237371,0.791406363196469,0.255666940844173,0.0158440825433717,0.0185852713650909,0.0113988152253366
32,0.335810959446136,0.794963077383907,0.253733162033027,0.0145190211410074,0.0172817785256893,0.0102355863446199
33,0.333972127369965,0.797132837273428,0.252311222736321,0.0144094769980662,0.0174756910749172,0.0101837801818382
34,0.330721093536845,0.801103743140523,0.249945347715981,0.0152262426820561,0.0175327781860342,0.0103252686079693
35,0.328059971412385,0.8042801781642,0.248230291926854,0.0151324676670922,0.0175306539879579,0.010119236261488
36,0.325689935938829,0.807043097277879,0.246407472683429,0.0149110864515685,0.0179733222397956,0.0098850014840319
37,0.324027449839126,0.809036639624661,0.24523031638597,0.0146426658813324,0.0174266145244678,0.0099586962852516
38,0.32187559486246,0.811631434886895,0.243540090979586,0.013843087936199,0.0160268873259043,0.00962853184552026
39,0.320376651252897,0.813396563351892,0.242286604412697,0.0140064845289648,0.0160081216274184,0.00988009232079215
40,0.319091012890292,0.814888987631861,0.241547579887642,0.0136738818016466,0.0158134925043471,0.0096725772869901
41,0.317972003002792,0.816181586911515,0.2407492612177,0.0126933276091283,0.0152276609713364,0.00903528538004474
42,0.316584996342631,0.817767294358352,0.239813504715738,0.0122003115132115,0.0149527959972282,0.00856967273714456
43,0.315242074767782,0.819333923260469,0.238850539571823,0.0120267234784233,0.0144384459854444,0.00871090420589405
44,0.314763543887045,0.819892861404376,0.238415904966329,0.0117990638622667,0.014286424923181,0.0084602400441467
45,0.313725132592854,0.821037984899183,0.237751191922872,0.0114897091074093,0.0143578786494391,0.00818737449224932
46,0.31312908956924,0.821716928884184,0.237298243925069,0.0117138212255116,0.014425836433138,0.0084849906944005
47,0.312014551129557,0.823043795603699,0.236479716617718,0.0106956813921601,0.0130452857723732,0.00777231802476475
48,0.311129674983428,0.824045083575039,0.23583165668577,0.0106983908711786,0.0129409808762757,0.00780163789633401
49,0.310383202593584,0.82489233244181,0.235380829356369,0.0107426319070651,0.0128044045510008,0.00784171387603953
50,0.309928478583046,0.825406930643741,0.23513224309221,0.0106489653170199,0.0126023083844862,0.00775180488176761
