"nvmax","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
27,0.330326954281187,0.801657620888277,0.249867851199002,0.0126411620236815,0.0155909412680102,0.00803940933171422
28,0.32920368499311,0.802998688820176,0.249110218550427,0.0125440484325217,0.0154512753362943,0.00808480359271664
29,0.328479076869574,0.80387648243604,0.24844495694173,0.0127117115456099,0.0154058317451299,0.00822528272012273
30,0.327897928944377,0.804556526663003,0.248045153652707,0.0129471012396847,0.0156823561254334,0.00831974575322036
31,0.327350999842274,0.805207966365451,0.24774068000488,0.0129794656822627,0.0156481674523653,0.0083052349697764
32,0.326835258949562,0.805829796524661,0.247333942593405,0.0126820651003851,0.0153800409597641,0.00796733464240054
33,0.326110819005001,0.806684178327686,0.246802782422414,0.0125081581623309,0.0153252438332761,0.00786221423515419
34,0.325815835960402,0.807035740755296,0.246592947630309,0.0127209834028973,0.0155149933793145,0.00794470365835491
35,0.325169414932978,0.807824865255657,0.245929884016934,0.0126757606529176,0.0153625693957394,0.00789188279055614
36,0.323004832315917,0.810324362166897,0.244370126637792,0.012614421461808,0.0156491880699936,0.00802195609257133
37,0.32202338327046,0.811453050730158,0.243570867017182,0.0123419967293101,0.0156656094987668,0.0077205208728838
38,0.318802561743655,0.815141074435953,0.241507555592643,0.0122815599559043,0.0158007378810327,0.00770234802684007
39,0.314878872203747,0.819790345800076,0.238901656221872,0.0101835402590482,0.0123705629038402,0.00675432044266567
40,0.314054647539934,0.820715648163273,0.238465522786548,0.0106043831858163,0.0125972647151796,0.00687876850993068
41,0.313375289253265,0.821493988164841,0.23788478871704,0.0103485381299894,0.0123001035229655,0.00659061970742428
42,0.312953213437278,0.821962876991679,0.237590198246251,0.0106472079215975,0.0126067987299279,0.00692535999816272
43,0.312616782725535,0.822342335148035,0.237411073609873,0.0105714773898017,0.0126206609660824,0.00688334226024237
44,0.311753864095079,0.823309777455916,0.236720485665363,0.0105112138729204,0.0127412862274175,0.00690115545751946
45,0.310877151876232,0.824288815986436,0.236078754691333,0.0103839545212222,0.0127434194639231,0.00673300717938449
46,0.310226944748927,0.825011608731784,0.23556361319737,0.0104032788321645,0.0127677338452079,0.0067029748397244
47,0.309853012216491,0.825431622240815,0.235213375420707,0.0104648187718744,0.0127598253172066,0.00679518357922817
48,0.309313022142091,0.826056801426879,0.234759291179632,0.0103447845638292,0.012365080952451,0.00678429019426954
49,0.309008606372373,0.82639303084604,0.234350977855984,0.0101782540815919,0.012469813580307,0.00662437729250045
50,0.308050684012292,0.827484497703388,0.233506503487871,0.0102382941008886,0.0121997683303234,0.00676949884837423
51,0.307066720063451,0.828605659827499,0.232832322106056,0.0103453594670413,0.0118821377324558,0.0067891593076701
52,0.306680758133488,0.829038476012057,0.23249695235907,0.010104562291636,0.0118327912339997,0.00662180116943776
53,0.30551133401453,0.830317047463372,0.231761656659502,0.0102330856045805,0.0121271437301203,0.00682288629314233
54,0.304829224722688,0.83109068793444,0.231247260570767,0.0101956354389193,0.0118940503685355,0.00687287067268599
55,0.304318196904244,0.831661045523905,0.230859477457702,0.0102515349521318,0.0117990344402729,0.00689951209785306
56,0.303643807335912,0.83240823533291,0.230287632821868,0.0101619904946572,0.0115142013249821,0.00695931641110732
57,0.303438968943438,0.832633271226742,0.230124429231443,0.0100701646275501,0.0115308996311848,0.00691978723364946
58,0.302921147101242,0.833201250409758,0.22976873801671,0.00998916811722651,0.0116695934380551,0.0068812771077095
59,0.302420115710023,0.833759189107775,0.229300075702149,0.0102818402479161,0.011748339824655,0.00699269686660853
